"","X","Y","P","PH","K","MO","SB","iCone","Rend","PROD"
"1",5.6,3.6,4.4,6.3,0.53,47.52,80.63,31,6.398,2.56
"2",15.2,1.6,3.7,6.3,0.38,48.74,82.23,29.5,7.0502,2.82
"3",24.8,4.6,3.5,5.4,0.47,51.79,61.47,23,5.8848,2.35
"4",34.4,5.6,3.9,5.2,0.48,57.88,59.09,24.5,8.5182,3.41
"5",44,1.6,3.6,5.6,0.52,59.7,71.61,18.5,7.4749,2.99
"6",53.6,1.6,3.7,5.2,0.45,53.61,56.98,21.5,9.316,3.73
"7",63.2,2.6,2.9,5.2,0.47,48.74,61.11,13,7.2822,2.91
"8",72.8,4.6,2.2,5.6,0.42,45.68,68.18,23,8.6872,3.47
"9",82.4,3.6,3,5.7,0.36,51.79,70.67,20,7.4979,3
"10",92,2.6,2.7,5.4,0.35,53.61,66.91,20,8.9435,3.58
"11",101.6,3.6,2.7,5.6,0.38,51.17,67.44,19.5,5.8875,2.36
"12",111.2,5.6,2.8,5.7,0.35,54.83,72.47,28.5,8.0805,3.23
"13",120.8,2.6,3.5,5.7,0.32,48.74,70.22,21,6.0661,2.43
"14",130.4,2.6,2.3,5.8,0.26,43.86,74.78,22.5,8.5176,3.41
"15",140,1.6,3.1,6.3,0.3,36.55,82.56,30.5,2.9745,1.19
"16",149.6,4.6,4.4,6.4,0.29,43.86,83.5,23,4.7397,1.9
"17",3.6,10.8,2.9,6.4,0.34,42.64,81.78,25,8.7262,3.49
"18",13.2,8.8,4.1,6,0.34,43.86,79.16,21,8.8531,3.54
"19",22.8,11.8,6,4.7,0.39,51.79,42.78,22,10.1354,4.05
"20",32.4,12.8,3.7,4.7,0.42,49.95,45.36,19,7.1467,2.86
"21",42,8.8,3,4.6,0.37,56.05,40.09,17,10.3019,4.12
"22",51.6,8.8,4.5,4.5,0.34,43.86,37.42,21.5,6.7344,2.69
"23",61.2,9.8,2.3,4.7,0.32,49.95,49.77,17.5,9.3851,3.75
"24",70.8,11.8,2.2,4.8,0.29,51.17,51.84,11,7.1044,2.84
"25",80.4,10.8,4.6,5.1,0.26,51.79,57.61,16,8.8608,3.54
"26",90,9.8,3.3,5.2,0.31,57.88,64.64,20.5,6.9419,2.78
"27",99.6,10.8,2.9,5.3,0.28,48.74,62.35,19,9.2508,3.7
"28",109.2,12.8,2.7,5.3,0.22,43.86,64.7,24,5.5267,2.21
"29",118.8,9.8,2.7,5.7,0.2,45.68,71.64,23.5,8.9568,3.58
"30",128.4,9.8,2.7,5.3,0.26,37.77,63.08,27,6.3779,2.55
"31",138,8.8,2.5,5.5,0.24,41.43,66.42,19,8.0235,3.21
"32",147.6,11.8,3.7,5.8,0.32,48.74,77.44,22,7.1772,2.87
"33",3.6,18,3,5.3,0.3,51.79,66.93,19.5,6.3142,2.53
"34",13.2,16,3.9,5.1,0.41,51.79,61.6,21.5,9.4494,3.78
"35",22.8,19,4.8,4.4,0.42,48.74,37.2,23.5,6.0728,2.43
"36",32.4,20,3,4.9,0.39,51.17,53.61,20,10.356,4.14
"37",42,16,3,4.9,0.4,49.95,51.58,16.5,5.0095,2
"38",51.6,16,10.2,4.8,0.39,48.74,52.1,14,8.1098,3.24
"39",61.2,17,2.5,4.9,0.22,45.68,50.72,21.5,5.9224,2.37
"40",70.8,19,3.1,4.8,0.29,43.86,45.07,19.5,7.8975,3.16
"41",80.4,18,2.5,5.1,0.3,51.79,57.06,14,5.4488,2.18
"42",90,17,3,5,0.3,48.74,56.04,21.5,7.4593,2.98
"43",99.6,18,2.7,5.1,0.29,51.79,54.92,21,4.9196,1.97
"44",109.2,20,3,5,0.3,48.74,51.97,27,6.7657,2.71
"45",118.8,17,3.7,5.7,0.27,48.74,70.98,19,5.1863,2.07
"46",128.4,17,2.5,5.4,0.24,45.68,62.51,23.5,8.1908,3.28
"47",138,16,3,4.6,0.29,43.86,40.46,21.5,5.9133,2.37
"48",147.6,19,4.1,4.9,0.35,49.95,52.38,24.5,8.7453,3.5
"49",5.6,25.2,4.5,4.7,0.38,57.88,43.26,17.5,7.2396,2.9
"50",15.2,23.2,3.7,4.7,0.35,54.83,46.24,22.5,7.1818,2.87
"51",24.8,26.2,3.8,4.8,0.42,56.05,47.09,15,7.2582,2.9
"52",34.4,27.2,3.7,4.9,0.37,54.83,50.65,20,7.8026,3.12
"53",44,23.2,3.7,5,0.34,51.17,48.61,17,9.1776,3.67
"54",53.6,23.2,4.7,5,0.29,51.17,51.74,19.5,8.6527,3.46
"55",63.2,24.2,3.5,4.9,0.2,45.56,48.9,23.5,7.4338,2.97
"56",72.8,26.2,3.3,4.9,0.25,44.22,50.55,18,7.6071,3.04
"57",82.4,25.2,3.3,4.9,0.19,42.9,49.32,18,8.5109,3.4
"58",92,24.2,3.3,5.2,0.3,41.56,54.47,16,6.8953,2.76
"59",101.6,25.2,5,6.1,0.28,52.27,82.28,10,7.4792,2.99
"60",111.2,27.2,5.2,5.9,0.29,43.55,74.25,20,6.1573,2.46
"61",120.8,24.2,5.2,6.6,0.29,36.86,84.03,19.5,3.4831,1.39
"62",130.4,24.2,4.6,5.9,0.28,46.9,74.36,15.5,6.9188,2.77
"63",140,23.2,4.8,4.9,0.3,46.9,47.98,17,8.3076,3.32
"64",149.6,26.2,4.7,5,0.33,46.9,52.98,18,7.4632,2.99
"65",1.6,32.4,3.3,5.4,0.35,54.95,62.51,17,6.5874,2.63
"66",11.2,30.4,2.7,5.8,0.38,54.95,71.46,23,6.825,2.73
"67",20.8,33.4,3.9,5.4,0.38,45.56,59.99,17,7.0912,2.84
"68",30.4,34.4,2.5,5.7,0.28,40.21,66.48,20,6.2408,2.5
"69",40,30.4,3.1,5.6,0.31,46.9,64.01,19,8.397,3.36
"70",49.6,30.4,3,5.3,0.29,46.9,57.5,18.5,5.1985,2.08
"71",59.2,31.4,2.9,5.2,0.24,41.56,54.89,22.5,7.1958,2.88
"72",68.8,33.4,4.1,5.3,0.24,56.3,56.79,15.5,4.835,1.93
"73",78.4,32.4,4.3,5.6,0.24,50.26,65.08,17,7.6587,3.06
"74",88,31.4,3.1,5.3,0.21,43.55,60.7,17.5,8.1509,3.26
"75",97.6,32.4,3.4,6.3,0.17,46.9,82.23,20,8.7786,3.51
"76",107.2,34.4,3.9,6.1,0.21,36.86,70.34,22.5,5.2328,2.09
"77",116.8,31.4,4.7,6.5,0.23,43.55,80.65,17.5,8.2253,3.29
"78",126.4,31.4,4.1,5.7,0.29,46.9,65.84,13.5,6.7489,2.7
"79",136,30.4,3.5,5.5,0.28,43.55,61.16,19.5,7.4394,2.98
"80",145.6,33.4,3.6,5.3,0.26,46.9,56.72,16.5,6.4958,2.6
